title,score,revenue,year,released
Street Kings,6.3,65569869,2008,2008-04-11
Striptease,4.4,113309743,1996,1996-06-28
Stuart Little 2,5.4,169956806,2002,2002-07-19
Stuck on You,5.1,33828318,2003,2003-12-12
Sucker Punch,5.9,89792502,2011,2011-03-25
Suicide Squad,5.9,745000000,2016,2016-08-05
Summer Catch,4.8,19693891,2001,2001-08-24
Sunshine Cleaning,6.5,16174377,2008,2009-04-17
Super,6.6,324138,2010,2011-06-10
Super 8,6.6,260095987,2011,2011-06-10
Super Mario Bros.,4,20915465,1993,1993-05-28
Super Troopers,6.6,18492362,2001,2002-02-15
Superbad,7,121463226,2007,2007-08-17
Superhero Movie,4.9,25871834,2008,2008-03-28
Superman IV: The Quest for Peace,4.1,19300000,1987,1987-07-24
Superman Returns,5.4,391081192,2006,2006-06-28
Supernova,4.9,14828081,2000,2000-01-14
Surf's Up,5.9,149044513,2007,2007-06-08
Surrogates,5.9,122444772,2009,2009-09-25
Suspect Zero,5.5,13000000,2004,2004-08-27
Sweet Home Alabama,6,180622424,2002,2002-09-27
Sweet November,6.4,65754228,2001,2001-02-16
Swept Away,4.8,598645,2002,2002-10-11
Swimfan,5,34411240,2002,2002-09-06
Swing Vote,5.8,17600000,2008,2008-08-01
Swingers,6.8,4505922,1996,1997-04-11
Switchback,5.8,6482195,1997,1997-10-31
Swordfish,6.1,147080413,2001,2001-06-08
Sydney White,6,13620075,2007,2007-09-21
Syriana,6.3,94000000,2005,2005-12-09
Tadpole,5.5,2891288,2000,2002-08-23
Take Me Home Tonight,6.2,6928068,2011,2011-03-04
Take Shelter,7.1,3099314,2011,2011-11-10
Take the Lead,6.6,34742066,2006,2006-04-07
Takers,6,69055695,2010,2010-08-27
Tales from the Hood,5.4,12000000,1995,1995-05-24
Talk Radio,6.7,3468572,1988,1989-01-13
Talladega Nights: The Ballad of Ricky Bobby,6.2,162966177,2006,2006-08-04
Tangled,7.4,591794936,2010,2010-11-24
Tango & Cash,6.1,63408614,1989,1989-12-22
Tank Girl,5.5,4064495,1995,1995-03-31
Tea with Mussolini,5.8,21001563,1999,1999-05-14
Team America: World Police,6.6,50907422,2004,2004-10-15
Tears of the Sun,6.4,85632458,2003,2003-03-07
Ted,6.3,549368315,2012,2012-06-29
Ted 2,6.2,217022588,2015,2015-06-26
Teenage Mutant Ninja Turtles,5.8,477200000,1990,1990-03-30
Teenage Mutant Ninja Turtles,5.8,477200000,2014,2014-08-08
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,5.8,78000000,1991,1991-03-22
Teenage Mutant Ninja Turtles III,5.1,42000000,1993,1993-03-19
Teenage Mutant Ninja Turtles: Out of the Shadows,5.8,245623848,2016,2016-06-03
Terminator 2: Judgment Day,7.7,520000000,1991,1991-07-03
Terminator 3: Rise of the Machines,5.9,435000000,2003,2003-07-02
Terminator Genisys,5.8,440603537,2015,2015-07-01
Terminator Salvation,5.9,371353001,2009,2009-05-21
Texas Chainsaw 3D,5.3,47241945,2013,2013-01-04
Thank You for Smoking,7.1,24793509,2005,2006-04-14
That Awkward Moment,6.1,26049082,2014,2014-01-31
That's My Boy,5.5,58058367,2012,2012-06-15
The 13th Warrior,6.4,61698899,1999,1999-08-27
The 5th Wave,5.6,109906372,2016,2016-01-22
The 6th Day,5.7,96085477,2000,2000-11-17
The Abyss,7.1,90000098,1989,1989-08-09
The Addams Family,6.7,191502426,1991,1991-11-22
The Adjustment Bureau,6.5,127869379,2011,2011-03-04
The Adventures of Ford Fairlane,6.2,20423389,1990,1990-07-11
The Adventures of Pluto Nash,4.4,7103973,2002,2002-08-16
The Adventures of Rocky & Bullwinkle,3.9,35134820,2000,2000-06-30
The Adventures of Tintin,6.7,371940071,2011,2011-12-21
The Age of Adaline,7.4,65663276,2015,2015-04-24
The Age of Innocence,7,32255440,1993,1993-10-01
The Alamo,5.8,25819961,2004,2004-04-09
The Amazing Spider-Man,6.5,752215857,2012,2012-07-03
The Amazing Spider-Man 2,6.5,705717432,2014,2014-05-02
The American,5.8,65464324,2010,2010-09-01
The American President,6.5,107879496,1995,1995-11-17
The Amityville Horror,6,108047131,2005,2005-04-15
The Angry Birds Movie,5.9,349779543,2016,2016-05-20
The Animal,4.6,84772742,2001,2001-06-01
The Ant Bully,5.5,55181129,2006,2006-07-28
The Apparition,4.5,9627492,2012,2012-08-24
The Art of War,5.6,30199105,2000,2000-08-25
The Artist,7.3,133432856,2011,2012-01-20
The Assassination of Jesse James by the Coward Robert Ford,7,14711793,2007,2007-10-19
The Astronaut Farmer,6.2,11130889,2006,2007-02-23
The Astronaut's Wife,5.4,19598588,1999,1999-08-27
The Avengers,7.4,1519557910,1998,1998-08-14
The Avengers,7.4,1519557910,2012,2012-05-04
The Back-Up Plan,5.7,77477008,2010,2010-04-23
The Ballad of Jack and Rose,6.5,712294,2005,2005-04-08
The Bank Job,6.6,64822796,2008,2008-03-07
The Beach,6.3,144056873,2000,2000-02-11
The Beaver,6.3,970816,2011,2011-06-17
The Believer,6.8,416925,2001,2001-08-23
The Best Exotic Marigold Hotel,6.9,136836156,2011,2012-05-25
The Best Man Holiday,6.7,71625195,2013,2013-11-15
The Best of Me,7.2,35926213,2014,2014-10-17
The BFG,6,183345589,2016,2016-07-01
The Big Bounce,5,6808550,2004,2004-01-30
The Big Hit,6.1,27007143,1998,1998-04-24
The Big Lebowski,7.8,46189568,1998,1998-03-06
The Big Short,7.3,133346506,2015,2015-12-23
The Big Wedding,5.7,21819348,2013,2013-04-26
The Big Year,5.6,7448385,2011,2011-10-14
The Birth of a Nation,6.5,15861566,2016,2016-10-07
The Blair Witch Project,6.3,248000000,1999,1999-07-30
The Blind Side,7.2,309208309,2009,2009-11-20
The Bodyguard,6.1,411006740,1992,1992-11-25
The Bone Collector,6.5,151493655,1999,1999-11-05
The Book of Eli,6.6,157107755,2010,2010-01-15
The Book of Life,7.3,97437106,2014,2014-10-17
The Boondock Saints,7.2,30471,1999,1999-11-19
The Boondock Saints II: All Saints Day,5.9,10629321,2009,2009-12-11
The Boss,5.5,78636257,2016,2016-04-08
The Bounty Hunter,5.5,136000000,2010,2010-03-19
The Bourne Identity,7.3,214034224,2002,2002-06-14
The Bourne Legacy,6,276572938,2012,2012-08-10
The Bourne Supremacy,7.2,288500217,2004,2004-07-23
The Bourne Ultimatum,7.3,442824138,2007,2007-08-03
The Box,5.4,33333531,2009,2009-11-06
The Boxtrolls,6.6,108255770,2014,2014-09-26
The Boy,5.8,64188367,2016,2016-01-22
The Boy Next Door,4.1,52425855,2015,2015-01-23
The Break-Up,5.6,204999686,2006,2006-06-02
The Bridges of Madison County,7.3,182016617,1995,1995-06-02
The Brothers Bloom,6.8,5530764,2008,2009-06-19
The Brothers Grimm,5.6,105316267,2005,2005-08-26
The Bucket List,7,175372502,2007,2008-01-11
The Butterfly Effect,7.3,96060858,2004,2004-01-23
The Cabin in the Woods,6.5,66486080,2012,2012-04-13
The Cable Guy,5.7,102825796,1996,1996-06-14
The Call,6.6,68572378,2013,2013-03-15
The Canyons,4.1,56825,2013,2013-08-02
The Cave,5.1,15007991,2005,2005-08-26
The Cell,6,104155843,2000,2000-08-18
The Change-Up,5.9,75450437,2011,2011-08-05
The Chronicles of Narnia: Prince Caspian,6.3,419651413,2008,2008-05-16
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,748806957,2005,2005-12-09
The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,415686217,2010,2010-12-10
The Chronicles of Riddick,6.3,115772733,2004,2004-06-11
The Client,6.4,117615211,1994,1994-07-20
The Cold Light of Day,4.8,16863583,2012,2012-09-07
The Color of Money,6.7,52293982,1986,1986-10-17
The Conjuring,7.4,318000141,2013,2013-07-19
The Conjuring 2,7,320170008,2016,2016-06-10
The Conspirator,6.2,15478800,2010,2011-04-15
The Core,5.4,74208267,2003,2003-03-28
The Corruptor,6,15156200,1999,1999-03-12
The Count of Monte Cristo,7.3,75395048,2002,2002-01-25
The Covenant,5.2,37597471,2006,2006-09-08
The Craft,6.3,24769466,1996,1996-05-03
The Crazies,6.2,54956140,2010,2010-02-26
The Croods,6.8,585178928,2013,2013-03-22
The Crow,7.3,94000000,1994,1994-05-13
The Curious Case of Benjamin Button,7.3,333932083,2008,2008-12-25
The Curse of the Were-Rabbit,6.8,192452832,2005,2005-10-07
The Da Vinci Code,6.5,767820459,2006,2006-05-19
The Dark Knight,8.2,1004558444,2008,2008-07-18
The Dark Knight Rises,7.6,1084939099,2012,2012-07-20
The Darkest Hour,4.8,64626786,2011,2011-12-25
The Day After Tomorrow,6.2,544272402,2004,2004-05-28
The Day the Earth Stood Still,5.2,233093859,2008,2008-12-12
The Debt,6.3,45636368,2010,2011-08-31
The Deep End of the Ocean,5.9,28121100,1999,1999-03-12
The Departed,7.9,289847354,2006,2006-10-06
The Descendants,6.7,177243185,2011,2011-12-09
The Devil Inside,4.6,101758490,2012,2012-01-06
The Devil Wears Prada,7,326551094,2006,2006-06-30
The Devil's Advocate,7.2,152944660,1997,1997-10-17
The Devil's Own,5.9,140807547,1997,1997-03-26
The Diary of a Teenage Girl,6.8,1477002,2015,2015-08-28
The Dictator,5.9,179379533,2012,2012-05-16
The Dilemma,5.2,67112664,2011,2011-01-14
The Doors,6.7,34416893,1991,1991-03-01
The DUFF,6.8,43528634,2015,2015-02-20
The Dukes of Hazzard,5.1,110803676,2005,2005-08-05
The East,6.5,2401510,2013,2013-06-28
The Emperor's New Groove,7.2,169327687,2000,2000-12-15
The End of the Affair,6.6,10827816,1999,2000-01-21
The English Patient,7,231976425,1996,1996-12-06
The Equalizer,7.1,192330738,2014,2014-09-26
The Exorcism of Emily Rose,6.3,144216468,2005,2005-09-09
The Expendables,6,274470394,2010,2010-08-13
The Expendables 2,6.1,312573423,2012,2012-08-17
The Expendables 3,6.1,206172544,2014,2014-08-15
The Express,7.1,9793496,2008,2008-10-10
The Eye,5.5,56309766,2008,2008-02-01
The Faculty,6.2,40283321,1998,1998-12-25
The Fan,5.7,18626419,1996,1996-08-16
The Fast and the Furious,6.6,207283925,2001,2001-06-22
The Fast and the Furious: Tokyo Drift,6.1,158468292,2006,2006-06-16
The Fault in Our Stars,7.6,307166834,2014,2014-06-06
The Fifth Element,7.3,263920180,1997,1997-05-09
The Fifth Estate,5.7,8555008,2013,2013-10-18
The Fighter,7.2,93617009,2010,2010-12-17
The Final Destination,5.4,186167139,2009,2009-08-28
The Finest Hours,6.3,52099090,2016,2016-01-29
The Firm,6.6,270248367,1993,1993-06-30
The First Wives Club,6.5,116400000,1996,1996-09-20
The Fisher King,7.2,41895491,1991,1991-09-27
The Five-Year Engagement,5.7,53909751,2012,2012-04-27
The Flintstones,5,341631208,1994,1994-05-27
The Flintstones in Viva Rock Vegas,4.4,59468275,2000,2000-04-28
The Flowers of War,7.1,95311434,2011,2011-12-16
The Fog,6.4,21378361,2005,2005-10-14
The Forbidden Kingdom,6.3,127906624,2008,2008-04-18
The Forest,4.8,40055439,2016,2016-01-08
The Fountain,6.8,15304890,2006,2006-11-22
The Four Feathers,6.5,29882645,2002,2002-09-20
The Fourth Kind,5.8,42333295,2009,2009-11-06
The Fugitive,7.2,368875760,1993,1993-08-06
The Full Monty,6.8,257850122,1997,1997-09-19
The Funeral,7.3,1227324,1996,1996-11-01
The Gambler,5.7,39171130,2014,2014-12-25
The Game,7.5,109423648,1997,1997-09-12
The Game Plan,6,147880543,2007,2007-09-28
The General's Daughter,6.1,149705852,1999,1999-06-18
The Ghost Writer,6.7,60222298,2010,2010-03-19
The Gift,6.7,58978653,2000,2001-01-19
The Gift,6.7,58978653,2015,2015-08-07
The Girl Next Door,6.3,30411183,2004,2004-04-09
The Girl with the Dragon Tattoo,7.2,232617430,2009,2010-04-30
The Girl with the Dragon Tattoo,7.2,232617430,2011,2011-12-21
The Glass House,5.4,23619609,2001,2001-09-14
The Godfather: Part III,7.1,136766062,1990,1990-12-25
The Golden Child,5.6,79817939,1986,1986-12-12
The Golden Compass,5.8,372234864,2007,2007-12-07
The Good Dinosaur,6.6,331926147,2015,2015-11-25
The Good German,5.9,5914908,2006,2007-01-19
The Good Girl,6.1,16856124,2002,2002-08-30
The Grand Budapest Hotel,8,174600318,2014,2014-03-28
The Grandmaster,6.3,64076736,2013,2013-08-30
The Great Debaters,6.9,30226144,2007,2007-12-25
The Great Raid,6.8,10166502,2005,2005-08-12
The Green Hornet,5.5,227817248,2011,2011-01-14
The Green Inferno,5,6833445,2013,2015-09-25
The Green Mile,8.2,284600000,1999,1999-12-10
The Grey,6.4,77278331,2011,2012-01-27
The Grudge,5.8,183474602,2004,2004-10-22
The Grudge 2,5.2,39143839,2006,2006-10-13
The Guard,6.8,19560274,2011,2011-07-07
The Guilt Trip,5.4,41863726,2012,2012-12-19
The Gunman,5.5,13644292,2015,2015-03-20
The Hangover,7.2,459270619,2009,2009-06-05
The Hangover Part II,6.2,254455986,2011,2011-05-26
The Happening,4.9,163403799,2008,2008-06-13
The Hateful Eight,7.6,155760117,2015,2015-12-30
The Haunted Mansion,5.2,182290266,2003,2003-11-26
The Heat,6.5,158674180,2013,2013-06-28
The Help,7.8,124272124,2011,2011-08-10
The Hills Have Eyes,6.1,69623713,2006,2006-03-10
The Hitchhiker's Guide to the Galaxy,6.6,104478416,2005,2005-04-29
The Hobbit: An Unexpected Journey,7,1021103568,2012,2012-12-14
The Hobbit: The Battle of the Five Armies,7.1,956019788,2014,2014-12-17
The Hobbit: The Desolation of Smaug,7.6,958400000,2013,2013-12-13
The Holiday,6.7,194168700,2006,2006-12-08
The Homesman,6.4,3442853,2014,2014-05-18
The Horse Whisperer,6.7,186883563,1998,1998-05-15
The Host,6.7,88489643,2013,2013-03-29
The Host,6,63327201,2013,2013-03-29
The Hours,7,41597830,2002,2003-02-14
The House Bunny,5.6,70442940,2008,2008-08-22
The Hunchback of Notre Dame,6.8,100138851,1996,1996-06-21
The Hundred-Foot Journey,7.3,88880821,2014,2014-08-08
The Hunger Games,6.9,691210692,2012,2012-03-23
The Hunger Games: Catching Fire,7.4,847423452,2013,2013-11-22
The Hunger Games: Mockingjay - Part 1,6.6,752100229,2014,2014-11-21
The Hunger Games: Mockingjay - Part 2,6.6,653428261,2015,2015-11-20
The Hunt,7.9,16800000,2012,2012-12-21
The Hunt for Red October,7.2,199200000,1990,1990-03-02
The Hunted,6,34234008,1995,1995-02-24
The Hunted,6,34234008,2003,2003-03-14
The Huntsman: Winter's War,6,164602163,2016,2016-04-22
The Hurricane,7.2,73956241,1999,2000-01-14
The Hurt Locker,7.2,42000000,2008,2009-07-31
The Ice Storm,6.9,8038061,1997,1997-11-26
The Iceman,6.4,1969193,2012,2013-10-18
The Ides of March,6.5,75993061,2011,2011-10-07
The Illusionist,7.1,86915017,2006,2006-09-01
The Imaginarium of Doctor Parnassus,6.3,64352607,2009,2010-01-08
The Imitation Game,8,233555708,2014,2014-12-25
The Immigrant,6.2,5867686,2013,2014-05-23
The Impossible,7,180274123,2012,2013-01-04
The In Crowd,4.7,5217498,2000,2000-07-19
The Incredible Burt Wonderstone,5.3,27437881,2013,2013-03-15
The Incredible Hulk,6.1,163712074,2008,2008-06-13
The Incredibles,7.4,631442092,2004,2004-11-05
The Infiltrator,6.6,15436808,2016,2016-07-13
The Informant!,6,35424826,2009,2009-09-18
The Informers,4.4,382174,2008,2009-04-24
The Innkeepers,5.4,78396,2011,2012-04-20
The Insider,7.3,60289912,1999,1999-11-05
The Intern,7.1,194564672,2015,2015-09-25
The International,6,60161391,2009,2009-02-13
The Internship,6.1,44000000,2013,2013-06-07
The Interpreter,6.2,162944923,2005,2005-04-22
The Interview,6.1,12342632,2014,2014-12-24
The Invasion,5.7,15071514,2007,2007-08-17
The Iron Giant,7.6,23159305,1999,1999-08-06
The Iron Lady,6.2,114956699,2011,2012-01-13
The Island,6.5,162949164,2005,2005-07-22
The Island of Dr. Moreau,4.6,49627779,1996,1996-08-23
The Italian Job,6.6,176070171,2003,2003-05-30
The Jackal,6.1,159330280,1997,1997-11-14
The Joneses,6.1,7022728,2009,2010-04-23
The Judge,7.2,83719388,2014,2014-10-10
The Jungle Book,6.7,966550600,2016,2016-04-15
The Jungle Book 2,5.6,135680000,2003,2003-02-14
The Karate Kid,6.9,90815558,2010,2010-06-11
The Kid,6,69700000,2000,2000-07-07
The Kids Are All Right,6.5,34705850,2010,2010-07-30
The King's Speech,7.6,414211549,2010,2010-12-25
The Kingdom,6.5,86658558,2007,2007-09-28
The Kite Runner,7.3,73276047,2007,2008-01-11
The Ladies Man,5.7,13700000,2000,2000-10-13
The Lake House,6.5,114830111,2006,2006-06-16
The Land Before Time,7,84460846,1988,1988-11-18
The Last Airbender,4.7,318502923,2010,2010-07-01
The Last Castle,7,27642707,2001,2001-10-19
The Last Emperor,7.4,43984230,1987,1988-04-15
The Last House on the Left,6.2,32721635,2009,2009-03-13
The Last King of Scotland,7.4,48027970,2006,2007-01-19
The Last Legion,5,25303038,2007,2007-08-17
The Last of the Mohicans,7.1,75505856,1992,1992-09-25
The Last Samurai,7.3,456758981,2003,2003-12-05
The Last Temptation of Christ,7,8373585,1988,2004-03-12
The Last Witch Hunter,5.7,146936910,2015,2015-10-23
The Lawnmower Man,5.4,32101000,1992,1992-03-06
The Lazarus Effect,5.1,64110728,2015,2015-02-27
The League of Extraordinary Gentlemen,5.7,179265204,2003,2003-07-11
The Legend of Bagger Vance,6.3,39459427,2000,2000-11-03
The Legend of Hercules,4.4,61279452,2014,2014-01-10
The Legend of Tarzan,5.5,356743061,2016,2016-07-01
The Legend of Zorro,5.9,142400065,2005,2005-10-28
The Lego Movie,7.5,469160692,2014,2014-02-07
The Life Aquatic with Steve Zissou,7.1,34808403,2004,2004-12-25
The Life of David Gale,7.3,38955598,2003,2003-02-21
The Limey,6.6,3193102,1999,1999-08-04
The Lincoln Lawyer,7,85412898,2011,2011-03-18
The Lion King,8,788241776,1994,1994-06-24
The Little Vampire,6.1,13555988,2000,2000-10-27
The Lives of Others,7.9,70000000,2006,2007-03-30
The Living Daylights,6.2,191185897,1987,1987-07-31
The Lone Ranger,5.9,89289910,2013,2013-07-03
The Long Kiss Goodnight,6.5,89456761,1996,1996-10-11
The Longest Ride,7.3,63013281,2015,2015-04-10
The Longest Yard,6.2,190320568,2005,2005-05-27
The Lord of the Rings: The Fellowship of the Ring,8,871368364,2001,2001-12-19
The Lord of the Rings: The Return of the King,8.1,1118888979,2003,2003-12-17
The Lord of the Rings: The Two Towers,8,926287400,2002,2002-12-18
The Lords of Salem,5.1,1165882,2012,2013-04-18
The Losers,6.2,23580000,2010,2010-04-23
The Lost World: Jurassic Park,6.2,229074524,1997,1997-05-23
The Love Guru,4.3,41819064,2008,2008-06-20
The Lovely Bones,6.6,93525586,2009,2010-01-15
The Lucky One,6.8,99357138,2012,2012-04-20
The Machinist,7.3,8203235,2004,2004-12-03
The Majestic,6.6,37317558,2001,2001-12-21
The Man from U.N.C.L.E.,7.1,108145109,2015,2015-08-14
The Man Who Knew Too Little,6.5,13801755,1997,1997-11-14
The Man with the Iron Fists,5.2,15608545,2012,2012-11-02
The Manchurian Candidate,6.2,96105964,2004,2004-07-30
The Marine,5,22165608,2006,2006-10-13
The Martian,7.6,630161890,2015,2015-10-02
The Mask,6.6,351583407,1994,1994-07-29
The Mask of Zorro,6.3,250288523,1998,1998-07-17
The Master,7,28258060,2012,2012-09-21
The Matador,6.2,17297244,2005,2006-01-27
The Matrix,7.9,463517383,1999,1999-03-31
The Matrix Reloaded,6.7,738599701,2003,2003-05-15
The Maze Runner,7,348319861,2014,2014-09-19
The Mechanic,6.3,51070807,2011,2011-01-28
The Men Who Stare at Goats,5.9,68729358,2009,2009-11-06
The Messenger,7.1,1521261,2009,2009-12-04
The Messenger: The Story of Joan of Arc,6.2,66976317,1999,1999-11-12
The Mexican,5.8,147845033,2001,2001-03-02
The Midnight Meat Train,6,3533227,2008,2008-08-07
The Mighty Ducks,6.4,50752337,1992,1992-10-02
The Mist,6.7,57096190,2007,2007-11-21
The Monuments Men,5.8,154984035,2014,2014-02-07
The Mortal Instruments: City of Bones,6.2,90565421,2013,2013-08-21
The Mothman Prophecies,6.1,55157539,2002,2002-01-25
The Mummy Returns,6,433013274,2001,2001-05-04
The Muppets,6.5,165184237,2011,2011-11-23
The Naked Gun 2½: The Smell of Fear,6.6,86930411,1991,1991-06-28
The Net,5.6,110627965,1995,1995-07-28
The New World,6.4,30536013,2005,2006-01-20
The Newton Boys,5.9,76000000,1998,1998-03-27
The Next Best Thing,4.3,24362772,2000,2000-03-03
The Next Three Days,6.9,51148651,2010,2010-11-19
The Notebook,7.7,115603229,2004,2004-06-25
The November Man,6,32556119,2014,2014-08-27
The Number 23,6.3,77566815,2007,2007-02-23
The Nutcracker,5.6,2119994,1993,1993-11-24
The Nutty Professor,5.4,128769345,1996,1996-06-28
The Object of My Affection,5.6,46905889,1998,1998-04-17
The Omen,7.2,60922980,2006,2006-06-06
The One,5.7,72700000,2001,2001-11-02
The Order,4.8,11560806,2003,2003-09-05
The Other Guys,6.1,170432927,2010,2010-08-06
The Other Side of Heaven,6.7,4720371,2001,2002-04-12
The Other Woman,6.2,196781193,2014,2014-04-25
The Out-of-Towners,5,29000000,1999,1999-04-02
The Pacifier,5.8,113006880,2005,2005-03-04
The Passion of the Christ,6.9,611899420,2004,2004-02-25
The Patriot,6.8,215294342,2000,2000-06-28
The Peanuts Movie,6.5,246233113,2015,2015-11-06
The Pelican Brief,6.3,195268056,1993,1993-12-17
The Perez Family,6.6,2832826,1995,1995-05-12
The Perfect Storm,6.2,325756637,2000,2000-06-30
The Perks of Being a Wallflower,7.7,33400000,2012,2012-10-12
The Phantom,4.7,17300889,1996,1996-06-07
The Phantom of the Opera,7,154648887,2004,2004-12-22
The Pianist,8,120072577,2002,2003-03-28
The Place Beyond the Pines,6.8,35485608,2012,2013-04-19
The Pledge,6.5,29400000,2001,2001-01-19
The Polar Express,6.4,305875730,2004,2004-11-10
The Postman,6.1,17626234,1997,1997-12-25
The Prestige,8,109676311,2006,2006-10-20
The Prince of Egypt,6.8,218613188,1998,1998-12-18
The Prince of Tides,5.9,74787599,1991,1991-12-25
The Princess and the Frog,6.7,267045765,2009,2009-12-11
The Princess Bride,7.6,30857814,1987,1987-10-09
The Princess Diaries,6.5,165335153,2001,2001-08-03
The Princess Diaries 2: Royal Engagement,6,95149435,2004,2004-08-11
The Producers,6.1,38058335,2005,2005-12-25
The Proposal,6.7,317375031,2009,2009-06-19
The Proposition,7.1,5048693,2005,2006-06-09
The Punisher,6.1,54700105,2004,2004-04-16
The Purge: Election Year,6.1,118587880,2016,2016-07-01
The Pursuit of Happyness,7.7,307077295,2006,2006-12-15
The Quiet,6.1,381420,2005,2006-08-25
The Quiet American,6.4,27674124,2002,2003-03-07
The Rage: Carrie 2,5.1,17762705,1999,1999-03-12
The Rainmaker,6.7,45916769,1997,1997-11-21
The Raven,6.1,29657751,2012,2012-04-27
The Reader,7.2,113019290,2008,2009-01-30
The Reaping,5.4,62771059,2007,2007-04-05
The Red Violin,7.3,9495408,1998,1999-06-11
The Relic,5.8,33956608,1997,1997-01-10
The Remains of the Day,7.5,23237911,1993,1993-11-19
The Replacement Killers,6,19204929,1998,1998-02-06
The Ring Two,5.4,161451538,2005,2005-03-18
The Rite,5.8,96047633,2011,2011-01-28
The Road,6.8,27635305,2009,2009-12-18
The Road to El Dorado,7,76432727,2000,2000-03-31
The Rock,6.9,335062621,1996,1996-06-07
The Rocker,5.6,8762890,2008,2008-08-20
The Rookie,6.5,75597042,1990,1990-12-07
The Rookie,6.5,75597042,2002,2002-03-29
The Roommate,5.3,40492759,2011,2011-02-04
The Royal Tenenbaums,7.4,71441250,2001,2002-01-04
The Rugrats Movie,5.7,100491683,1998,1998-11-20
The Runaways,6.3,2995811,2010,2010-03-19
The Rundown,6.4,80916492,2003,2003-09-26
The Running Man,6.4,38122105,1987,1987-11-13
The Saint,5.9,118063304,1997,1997-04-04
The Santa Clause,6.3,189833357,1994,1994-11-11
The Santa Clause 2,5.5,172855065,2002,2002-11-01
The Scarlet Letter,5.5,10382407,1995,1995-10-13
The Score,6.7,71069884,2001,2001-07-13
The Scorpion King,5.3,165333180,2002,2002-04-19
The Second Best Exotic Marigold Hotel,6.3,85978266,2015,2015-03-06
The Secret in Their Eyes,7.8,33965843,2009,2010-05-21
The Secret Life of Bees,7.4,38105395,2008,2008-10-17
The Secret Life of Walter Mitty,7,188133322,2013,2013-12-25
The Sentinel,5.8,77920346,2006,2006-04-21
The Sessions,6.6,9138338,2012,2012-11-16
The Shadow,5.4,48063435,1994,1994-07-01
The Shallows,6.2,119100758,2016,2016-06-24
The Shawshank Redemption,8.5,28341469,1994,1994-10-14
The Siege,6,116672912,1998,1998-11-06
The Signal,5.8,600896,2014,2014-07-10
The Silence of the Lambs,8.1,272742922,1991,1991-02-14
The Simpsons Movie,6.9,527068851,2007,2007-07-27
The Sisterhood of the Traveling Pants,6.3,39053061,2005,2005-06-01
The Sixth Sense,7.7,672806292,1999,1999-08-06
The Skeleton Key,6.4,91974818,2005,2005-08-12
The Skulls,5.8,35007180,2000,2000-03-31
The Smurfs,5.5,563749323,2011,2011-07-29
The Smurfs 2,5.5,347434178,2013,2013-07-31
The Social Network,7.1,224920315,2010,2010-10-01
The Soloist,6.6,31720158,2009,2009-04-24
The Sorcerer's Apprentice,5.8,215283742,2010,2010-07-14
The Spanish Prisoner,7.1,13835130,1997,1998-05-15
The Specialist,5.5,170362582,1994,1994-10-07
The Spectacular Now,6.8,6854611,2013,2013-09-13
The Spiderwick Chronicles,6.3,162839667,2008,2008-02-14
The Spirit,4.7,39031337,2008,2008-12-25
The SpongeBob Movie: Sponge Out of Water,5.8,311594032,2015,2015-02-06
The SpongeBob SquarePants Movie,6.7,140161792,2004,2004-11-19
The Spy Next Door,5.5,45236543,2010,2010-01-15
The Squid and the Whale,6.9,11098131,2005,2005-12-16
The Station Agent,7.4,8679814,2003,2003-12-05
The Stepford Wives,5.4,102000000,2004,2004-06-11
The Story of Us,5.9,58900031,1999,1999-10-15
The Sum of All Fears,5.9,193000000,2002,2002-05-31
The Sweetest Thing,5.3,68696770,2002,2002-04-12
The Switch,5.9,49830607,2010,2010-08-20
The Tailor of Panama,6.2,28008462,2001,2001-03-30
The Tale of Despereaux,5.8,50877145,2008,2008-12-19
The Talented Mr. Ripley,7,128798265,1999,1999-12-25
The Tempest,6,346594,2010,2011-01-07
The Terminal,7,219417255,2004,2004-06-18
The Theory of Everything,7.8,123726688,2014,2014-11-26
The Thief and the Cobbler,6.8,669276,1993,1995-08-25
The Thin Red Line,7.2,98126565,1998,1999-01-15
The Thing,7.8,19629760,2011,2011-10-14
The Thomas Crown Affair,6.6,124305181,1999,1999-08-06
The Three Musketeers,5.6,132274484,1993,1993-11-12
The Three Musketeers,5.6,132274484,2011,2011-10-21
The Tigger Movie,6.3,45554533,2000,2000-02-11
The Time Machine,5.8,123729176,2002,2002-03-08
The Time Traveler's Wife,6.7,101229792,2009,2009-08-14
The To Do List,5.5,3566225,2013,2013-07-26
The Tourist,6,278731369,2010,2010-12-10
The Town,7,154026136,2010,2010-09-17
The Transporter,6.6,43928932,2002,2002-10-11
The Tree of Life,6.5,54674226,2011,2011-10-21
The Triplets of Belleville,7.3,1477676,2003,2004-02-13
The Truman Show,7.8,264118201,1998,1998-06-05
The Twilight Saga: Breaking Dawn - Part 2,6.1,829000000,2012,2012-11-16
The Twilight Saga: Eclipse,5.8,698491347,2010,2010-06-30
The Twilight Saga: New Moon,5.6,709827462,2009,2009-11-20
The Ugly Truth,6.4,205298907,2009,2009-07-24
The Untouchables,7.6,76270454,1987,1987-06-03
The Usual Suspects,8.1,23341568,1995,1995-09-15
